customer_id,address,postcode,state,country,property_valuation,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,CLV
30,02663 Buell Parkway,2519,New South Wales,Australia,11,Darrick,Helleckas,Male,18,18/10/1961,,IT,Affluent Customer,N,Yes,6,62,3736.52
31,2294 Pleasure Place,2135,New South Wales,Australia,12,Star,Praton,Female,3,24/11/1962,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14,61,3110
32,2951 Petterle Place,2756,New South Wales,Australia,9,Marion,Vanichkin,Female,17,20/04/1995,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,29,7873.18
33,63 Lukken Drive,2170,New South Wales,Australia,9,Ernst,Hacon,Male,44,25/06/1957,Product Engineer,,Affluent Customer,N,Yes,11,66,9384.23
35,34 Russell Plaza,4127,QLD,Australia,6,Margaretha,Strettle,Female,40,28/09/1963,Information Systems Manager,Health,High Net Worth,N,Yes,16,60,4182.28
36,78 Del Sol Hill,2535,New South Wales,Australia,8,Lurette,Stonnell,Female,33,09/11/1977,VP Quality Control,,Affluent Customer,N,No,22,46,1781.04
37,54 Sage Plaza,4726,QLD,Australia,1,Laurie,Dwerryhouse,Female,46,22/12/1985,Social Worker,Health,High Net Worth,N,No,16,38,11291.71
38,90 Lawn Parkway,4805,QLD,Australia,4,Cordi,Merman,Female,37,29/10/1955,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20,68,4502.59
39,38726 Ilene Crossing,2212,New South Wales,Australia,10,Hunfredo,Smalley,Male,5,16/04/1979,Assistant Media Planner,Entertainment,Mass Customer,N,No,22,45,11237.19
40,3496 Brown Drive,2207,New South Wales,Australia,8,Tomasine,Jerche,Female,91,27/10/1981,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14,42,6175.27
41,7188 Cody Way,3350,VIC,Australia,9,Basilius,Coupe,Male,64,14/04/1976,Food Chemist,Health,Mass Customer,N,No,16,48,9114.15
42,1 Claremont Park,3931,VIC,Australia,10,Chiquita,Durnall,Female,24,28/03/1977,Accountant III,Manufacturing,Mass Customer,N,No,18,47,1936.46
43,60 Eagan Circle,4018,QLD,Australia,8,Indira,Belt,Female,38,01/03/1983,Director of Sales,Retail,Mass Customer,N,No,5,41,6574.59
44,89314 Eagle Crest Center,4670,QLD,Australia,2,Neron,Verick,Male,63,18/10/1981,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,42,7497.4
45,2028 Lakewood Place,2480,New South Wales,Australia,3,Trace,Woodhead,Male,64,23/09/1975,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8,48,2912.33
46,70875 Hudson Point,3212,VIC,Australia,6,Kaila,Allin,Female,98,26/02/1972,,,Affluent Customer,N,Yes,15,52,4923.14
47,543 Killdeer Park,2322,New South Wales,Australia,4,Matthew,Jeaycock,Male,51,22/10/1992,Registered Nurse,Health,Affluent Customer,N,No,2,31,8022.01
48,22125 Ramsey Drive,3198,VIC,Australia,9,Rebbecca,Casone,Female,46,15/08/1975,Biostatistician II,,Mass Customer,N,Yes,8,48,9654.12
49,3107 Calypso Terrace,2210,New South Wales,Australia,9,Nolly,Ownsworth,Male,63,26/01/1994,VP Quality Control,,Affluent Customer,N,No,1,30,7582.92
50,957 Veith Junction,2047,New South Wales,Australia,10,Whitby,Schapero,Male,38,01/10/1980,Account Executive,Manufacturing,Mass Customer,N,Yes,16,43,9252.66
51,4853 Gulseth Avenue,4503,QLD,Australia,5,Fidelio,Dilke,Male,68,05/12/1959,Computer Systems Analyst II,Retail,Mass Customer,N,No,18,64,9667.46
52,9 Michigan Terrace,2145,New South Wales,Australia,8,Curran,Bentson,Male,57,22/06/1988,,Financial Services,Mass Customer,N,Yes,13,35,10106.57
53,62 Steensland Road,4350,QLD,Australia,3,Agnella,Gocke,Female,22,18/04/1954,Software Test Engineer II,Financial Services,Mass Customer,N,No,16,70,5472.74
54,6 Homewood Avenue,2142,New South Wales,Australia,8,Loralyn,Wonfor,Female,2,24/07/1966,Sales Associate,Property,Mass Customer,N,Yes,18,57,9813.66
55,15 Almo Lane,2029,New South Wales,Australia,10,Linc,Jillions,Male,48,24/09/1956,Paralegal,Financial Services,Affluent Customer,N,Yes,7,67,6754.21
56,690 Glacier Hill Circle,2127,New South Wales,Australia,10,Reese,Ensor,Male,44,04/07/1996,VP Sales,Property,Mass Customer,N,Yes,4,27,5060.86
57,89787 Village Green Terrace,4280,QLD,Australia,6,Abba,Masedon,Male,87,13/06/1988,Chief Design Engineer,,Mass Customer,N,Yes,13,35,8748.75
58,18 Elgar Park,2166,New South Wales,Australia,9,Dalenna,Pinnock,Female,26,04/07/1967,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17,56,6967.31
59,413 Mayer Street,2046,New South Wales,Australia,9,Niki,Heathcote,Male,60,08/02/2000,Physical Therapy Assistant,,High Net Worth,N,No,3,24,2797.47
60,39 3rd Drive,2026,New South Wales,Australia,10,Nadiya,Champerlen,Female,18,04/02/1970,,Manufacturing,Mass Customer,N,No,10,54,1526.9
61,44516 Katie Parkway,2765,New South Wales,Australia,7,Kacey,Rowbottom,Female,47,29/11/1959,Help Desk Operator,Property,High Net Worth,N,No,13,64,8397.28
62,41 Schurz Center,2749,New South Wales,Australia,8,Sorcha,Roggers,Female,38,06/07/1979,,IT,Mass Customer,N,Yes,22,44,5845.95
63,68150 Boyd Road,2745,New South Wales,Australia,9,Ebony,Zini,Female,58,03/07/1965,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16,58,4156.66
64,11474 Westend Hill,3752,VIC,Australia,8,Gerek,Yve,Male,73,25/03/1978,Legal Assistant,IT,High Net Worth,N,No,4,46,4111.12
65,308 Jana Crossing,2153,New South Wales,Australia,10,Yale,Tanser,Male,21,01/04/1976,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15,48,8056.47
66,163 Straubel Trail,2217,New South Wales,Australia,10,Anselm,Gawne,Male,46,11/03/2002,Account Executive,Argiculture,High Net Worth,N,No,1,22,6489.33
67,68294 Clarendon Crossing,2230,New South Wales,Australia,10,Vernon,,Male,67,14/06/1960,Web Developer II,Retail,Mass Customer,N,No,18,63,5304.15
68,486 Mariners Cove Plaza,3046,VIC,Australia,7,Dahlia,Eddoes,Female,37,21/04/1974,Information Systems Manager,,Affluent Customer,N,No,9,50,5127.98
69,0322 Dryden Court,3183,VIC,Australia,7,Heidi,Milner,Female,16,22/06/1969,Web Developer II,,Mass Customer,N,No,6,54,8395.75
70,9 Bonner Road,2070,New South Wales,Australia,12,Foster,Vannoort,Male,78,27/02/1993,Paralegal,Financial Services,Affluent Customer,N,No,8,31,4801.11
71,07041 Briar Crest Lane,2213,New South Wales,Australia,10,Hoyt,Glavias,Male,30,27/01/1985,Research Associate,Argiculture,Affluent Customer,N,Yes,12,39,1415.01
72,29466 Hanson Pass,4208,QLD,Australia,6,Sammy,Cheese,Male,93,13/02/1972,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16,52,4360.42
73,0212 Forest Run Trail,2774,New South Wales,Australia,8,Minette,Worters,Female,16,27/05/1960,Teacher,,Affluent Customer,N,Yes,5,64,5265.87
74,33055 Menomonie Parkway,4133,QLD,Australia,8,Pansy,Kiddie,Female,94,19/06/1969,,,Mass Customer,N,Yes,6,54,2985.64
75,4763 Merchant Avenue,2756,New South Wales,Australia,8,Dollie,Sealy,Female,28,15/07/1978,VP Product Management,Property,Mass Customer,N,No,19,45,7130.63
76,439 Ridgeway Court,4213,QLD,Australia,9,Rea,Hasser,Female,20,23/01/1978,Statistician II,Retail,High Net Worth,N,Yes,18,46,7425.04
77,2 Clyde Gallagher Lane,4170,QLD,Australia,5,Shermie,Andrin,Male,79,12/09/1989,Automation Specialist IV,Financial Services,Mass Customer,N,No,7,34,2964.73
78,97455 Loeprich Lane,2153,New South Wales,Australia,9,Arch,Van der Kruis,Male,37,12/03/1985,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8,39,1139.12
79,9527 Ridgeway Street,2073,New South Wales,Australia,10,Tybi,Silliman,Female,76,02/10/1968,Account Executive,Manufacturing,Mass Customer,N,No,18,55,6761.43
80,7 Jackson Point,3561,VIC,Australia,1,Pablo,Small,Male,11,24/04/1978,Data Coordiator,Entertainment,Mass Customer,N,No,13,46,12564.82
81,74 Anniversary Junction,2330,New South Wales,Australia,6,Bee,Blazewicz,Female,58,04/09/1986,,Health,High Net Worth,N,No,13,37,4421.7
82,2083 Spaight Court,3977,VIC,Australia,8,Gleda,Cokely,Female,93,28/06/1965,Software Test Engineer III,Property,High Net Worth,N,No,19,58,5293.91
83,2796 Caliangt Circle,2204,New South Wales,Australia,12,Kerr,Simmell,Male,97,26/02/1967,Internal Auditor,IT,Mass Customer,N,Yes,18,57,4464.65
84,96061 Ludington Place,2086,New South Wales,Australia,11,Rich,Mathiasen,Male,78,07/02/1958,Accountant III,,Mass Customer,N,Yes,14,66,5464.65
85,5037 Merchant Crossing,2226,New South Wales,Australia,11,Kane,Tixall,Male,1,21/05/1958,Analyst Programmer,,Mass Customer,N,No,8,66,3158.63
86,289 Haas Street,2075,New South Wales,Australia,11,Job,Sleney,Male,75,04/03/1989,Occupational Therapist,Health,High Net Worth,N,Yes,7,35,7319.35
87,4423 Bartelt Parkway,2038,New South Wales,Australia,12,Fields,Langdon,Male,78,23/04/1974,Editor,Financial Services,Mass Customer,N,No,8,50,7994.73
88,5 Grim Center,2069,New South Wales,Australia,12,Malynda,Tumber,Female,41,03/02/1966,Help Desk Operator,Property,High Net Worth,N,Yes,7,58,5550.83
89,73042 Roth Crossing,2100,New South Wales,Australia,11,Benedicto,Hoxey,Male,74,22/01/1967,Speech Pathologist,Health,Mass Customer,N,Yes,14,57,12741.44
90,171 Fordem Junction,2233,New South Wales,Australia,10,Cary,Garron,Male,76,12/11/1984,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11,39,7703.58
91,2640 Manley Point,2166,New South Wales,Australia,9,Dylan,Meaker,Male,69,24/02/1955,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17,69,8066.44
92,3 Hintze Pass,3133,VIC,Australia,10,Jodee,Judkins,Female,98,11/09/1980,Recruiting Manager,Health,Mass Customer,N,No,12,43,5098.43
93,2 Mcbride Road,3070,VIC,Australia,10,Gordon,Gowar,Male,63,16/07/1976,Project Manager,Retail,Mass Customer,N,Yes,10,47,5276.13
94,67234 Transport Hill,2777,New South Wales,Australia,7,Wallache,Simchenko,Male,33,07/08/1974,Civil Engineer,Manufacturing,Mass Customer,N,No,21,49,8305.77
95,72 Dorton Crossing,3133,VIC,Australia,10,Nomi,Mallinder,Female,67,25/12/1960,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8,63,5049.8
96,6 Heffernan Center,2125,New South Wales,Australia,11,Heath,Olford,Male,33,31/08/1968,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15,55,3874.84
97,6088 Roxbury Hill,2766,New South Wales,Australia,8,Arne,Corain,Male,16,27/07/1979,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10,44,8895.95
98,105 Shelley Alley,2209,New South Wales,Australia,10,Allianora,Babalola,Female,19,17/03/1956,Safety Technician IV,Health,Mass Customer,N,No,7,68,6180.05
99,079 Merry Park,2160,New South Wales,Australia,9,Reggie,Mulliner,Male,97,13/06/1998,VP Accounting,Financial Services,Mass Customer,N,No,3,25,8279.06
100,8722 Summit Alley,2065,New South Wales,Australia,12,Tripp,Steed,Male,80,11/05/1968,General Manager,Financial Services,Mass Customer,N,Yes,4,56,2748.2
101,9554 Artisan Pass,2150,New South Wales,Australia,10,Goran,Kwietek,Male,83,29/12/1975,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11,48,4309.82
102,55850 Butterfield Road,2168,New South Wales,Australia,9,Langsdon,Tranfield,Male,51,27/11/1956,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,67,6659.22
103,68 Little Fleur Crossing,2046,New South Wales,Australia,12,Ethyl,Runham,Female,49,21/04/1997,Product Engineer,Financial Services,Affluent Customer,N,Yes,4,27,4909.84
104,85688 New Castle Crossing,4171,QLD,Australia,10,Odille,Panketh,Female,40,06/06/1978,Automation Specialist II,Health,Mass Customer,N,Yes,9,45,8985.64
105,8611 Loomis Lane,2155,New South Wales,Australia,10,Maribeth,Pristnor,Female,25,17/09/2001,Recruiting Manager,Manufacturing,Mass Customer,N,No,1,22,6234.35
106,7909 Pierstorff Crossing,2517,New South Wales,Australia,9,Glyn,,Male,54,03/07/1966,Software Test Engineer III,Health,High Net Worth,N,Yes,18,57,2906.16
107,01 Muir Parkway,2096,New South Wales,Australia,12,Pris,Stallebrass,Female,97,01/07/1990,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9,33,3345.1
108,0410 Division Junction,2750,New South Wales,Australia,8,Kayle,Mingaud,Female,4,14/03/1994,,,High Net Worth,N,No,3,30,3556.66
109,41 Service Lane,2217,New South Wales,Australia,11,Cody,Blabey,Male,16,11/12/1978,Marketing Assistant,,Affluent Customer,N,Yes,4,45,10661.51
110,5 Moose Road,3977,VIC,Australia,8,Sascha,St. Quintin,Male,23,31/07/2000,,Financial Services,Affluent Customer,N,No,1,23,7788.71
111,7342 Fieldstone Junction,2093,New South Wales,Australia,12,Cele,Evason,Female,65,29/08/1993,Analyst Programmer,,Mass Customer,N,No,2,30,4873.06
112,0 David Terrace,3204,VIC,Australia,11,Shena,Parren,Female,88,12/08/1975,Marketing Manager,Retail,High Net Worth,N,No,12,48,9059.89
113,15239 Northwestern Point,4300,QLD,Australia,4,Gage,Nickless,Male,67,06/05/1956,Staff Scientist,,Mass Customer,N,No,20,68,5412.97
114,60 Oneill Street,2170,New South Wales,Australia,9,Sunny,Swindells,Female,10,23/10/1985,Teacher,Entertainment,Affluent Customer,N,No,8,38,3233
115,8194 Sachtjen Drive,3844,VIC,Australia,1,Alberik,Mereweather,Male,77,21/12/1981,Account Executive,Health,Mass Customer,N,No,18,42,8398.18
116,0349 Farmco Terrace,2168,New South Wales,Australia,8,Scottie,Swiffen,Male,49,05/02/1999,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2,25,5663.92
117,185 Pennsylvania Way,4226,QLD,Australia,6,Nance,Suttling,Female,75,23/02/1982,Marketing Manager,Manufacturing,Mass Customer,N,No,15,42,12856.83
118,432 Longview Circle,3192,VIC,Australia,10,Prentice,Pearmain,Male,43,12/11/1959,Budget/Accounting Analyst IV,,High Net Worth,N,No,19,64,5319.51
119,5814 Bunker Hill Street,3070,VIC,Australia,7,Willey,Chastanet,Male,9,04/12/1981,Associate Professor,,High Net Worth,N,Yes,9,42,5217.66
120,7 Carberry Crossing,2485,New South Wales,Australia,2,Sloan,Wagg,Male,80,02/09/1978,Legal Assistant,Financial Services,High Net Worth,N,Yes,4,45,3118.34
121,53 Talisman Trail,2097,New South Wales,Australia,9,Myles,Pauncefort,Male,82,02/10/1957,Graphic Designer,Manufacturing,Mass Customer,N,No,15,66,4327.44
122,5 Prairie Rose Road,4817,QLD,Australia,2,Colver,Itter,Male,87,19/04/1979,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12,45,6533.39
123,84 Florence Parkway,2516,New South Wales,Australia,8,Almeta,Kalinsky,Female,85,03/12/1988,Analyst Programmer,Financial Services,High Net Worth,N,No,15,35,5337.79
124,739 Elmside Way,3074,VIC,Australia,8,Kath,Cunney,Female,27,03/05/1995,Administrative Assistant II,Health,High Net Worth,N,Yes,5,29,8272.15
125,684 Northport Circle,2213,New South Wales,Australia,10,Darrelle,Antoniewski,Female,94,17/03/1960,Computer Systems Analyst II,Property,Mass Customer,N,No,16,64,7107.32
126,8 Hagan Hill,4508,QLD,Australia,4,Norman,Cliff,Male,53,15/10/1992,Administrative Officer,Health,Mass Customer,N,Yes,3,31,3448.12
127,0 Pearson Crossing,4405,QLD,Australia,1,Merrili,Whitear,Female,81,03/12/1974,Compensation Analyst,Financial Services,Mass Customer,N,No,19,49,9949.62
128,10918 Merry Way,2452,New South Wales,Australia,5,Isidro,Cypler,Male,73,17/07/1977,Systems Administrator III,Property,Mass Customer,N,Yes,12,46,3679.75
129,97 Coolidge Trail,2142,New South Wales,Australia,9,Weidar,Silkstone,Male,64,20/07/1985,Financial Advisor,Financial Services,High Net Worth,N,Yes,19,38,4090.48
130,58 Helena Hill,2205,New South Wales,Australia,7,Raddy,Delete,Male,32,18/07/1997,Chemical Engineer,Manufacturing,Mass Customer,N,No,1,26,3340.42
131,352 Forster Place,4132,QLD,Australia,3,Jana,Renyard,Female,57,16/10/1964,Administrative Officer,Retail,High Net Worth,N,No,8,59,8745.28
132,12306 Lawn Street,2145,New South Wales,Australia,8,Celesta,Willavoys,Female,5,07/07/1963,Web Designer I,Manufacturing,Mass Customer,N,Yes,9,60,7365.93
133,19392 7th Trail,4744,QLD,Australia,1,Eldridge,Fiddeman,Male,12,13/06/1977,VP Accounting,Financial Services,Mass Customer,N,Yes,16,46,3164.55
134,1605 Northfield Junction,2158,New South Wales,Australia,11,Merna,McCulloch,Female,34,01/08/1997,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5,26,7170.95
135,9674 Graceland Junction,3201,VIC,Australia,6,Rosalia,Sigart,Female,18,18/01/1975,Internal Auditor,IT,Mass Customer,N,No,3,49,6860.46
136,638 Thackeray Junction,4178,QLD,Australia,3,Mel,Bennet,Male,46,26/05/1973,Senior Developer,Manufacturing,High Net Worth,N,Yes,7,51,9406.85
137,869 Forster Circle,2112,New South Wales,Australia,10,Vaughn,Artin,Male,27,21/11/1987,Office Assistant II,Property,High Net Worth,N,No,10,36,3507.05
138,0 Golden Leaf Crossing,2033,New South Wales,Australia,9,Onofredo,Franc,Male,5,28/04/1985,Recruiter,Financial Services,Affluent Customer,N,Yes,13,39,4927.35
139,215 Lindbergh Trail,4401,QLD,Australia,1,Gar,,Male,1,28/07/1964,Operator,Telecommunications,Affluent Customer,N,No,4,59,10638.89
140,829 Washington Crossing,3186,VIC,Australia,9,Morrie,Flaxon,Male,9,20/05/1994,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2,30,7649.34
141,585 Loomis Court,2097,New South Wales,Australia,11,Townsend,Trobe,Male,67,25/06/1954,Teacher,Financial Services,High Net Worth,N,Yes,10,69,4053.98
142,68063 Blue Bill Park Center,3058,VIC,Australia,9,Bentley,Fortesquieu,Male,57,07/08/1967,Quality Engineer,Health,Affluent Customer,N,No,17,56,12474.74
143,15673 Farmco Point,4017,QLD,Australia,6,Kendall,Figg,Male,19,01/09/1957,Operator,Argiculture,Mass Customer,N,Yes,11,66,4689.21
145,7245 Cottonwood Center,2285,New South Wales,Australia,5,Filippo,Ferrara,Male,33,21/07/1997,Account Executive,Financial Services,Mass Customer,N,No,4,26,8149.19
146,20382 Spohn Alley,2219,New South Wales,Australia,11,Ricoriki,Matlock,Male,34,08/04/1985,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8,39,1973.29
147,12375 Cambridge Pass,2065,New South Wales,Australia,11,Rea,Pattrick,Female,32,06/12/1973,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10,50,8079.09
148,03 Granby Parkway,3216,VIC,Australia,8,Jaquith,Maffey,Female,69,08/05/1981,Programmer Analyst III,,Mass Customer,N,Yes,5,43,5808.83
149,939 Coleman Pass,4509,QLD,Australia,7,Drucy,Kausche,Female,41,31/01/1995,Research Nurse,Health,Mass Customer,N,Yes,1,29,7091.73
150,69914 Bowman Place,2330,NSW,Australia,7,Bradly,Crosse,Male,6,23/08/1983,Cost Accountant,Financial Services,Affluent Customer,N,No,17,40,3630.96
151,34457 Springview Street,2759,NSW,Australia,9,Donnie,Brimson,Male,36,31/01/1965,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13,59,13047.54
152,992 Old Shore Trail,2069,NSW,Australia,12,Stephana,Cardew,Female,5,03/03/1981,Compensation Analyst,Financial Services,Mass Customer,N,No,16,43,2941.37
153,453 Sheridan Street,2747,NSW,Australia,8,Lorilyn,Walshe,Female,73,28/07/1977,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12,46,7808.16
154,8 Mccormick Crossing,2227,NSW,Australia,8,Faydra,Dulieu,Female,90,13/02/1958,Junior Executive,,Mass Customer,N,No,11,66,3558.31
155,63344 Holmberg Crossing,2025,NSW,Australia,10,Orran,Bogges,Male,4,28/12/1985,Quality Engineer,Manufacturing,Mass Customer,N,No,10,38,4008.51
156,9 Huxley Circle,3191,VIC,Australia,11,Shayla,Rimmington,Female,23,09/09/1979,Cost Accountant,Financial Services,Mass Customer,N,Yes,11,44,4831.58
157,0 Hazelcrest Road,3025,VIC,Australia,8,Chad,Houtby,Male,97,23/11/1974,Financial Advisor,Financial Services,Affluent Customer,N,No,16,49,2541.39
158,2 Continental Plaza,2263,NSW,Australia,6,Hamlin,Odams,Male,99,03/09/1984,Internal Auditor,,Affluent Customer,N,No,5,39,7221.05
159,80 Duke Terrace,2233,NSW,Australia,10,Arin,Matskevich,Male,90,12/05/1987,Research Nurse,Health,Affluent Customer,N,No,13,37,6016.32
160,860 Hintze Lane,2154,NSW,Australia,11,Wake,Durning,Male,5,15/07/1964,Registered Nurse,Health,Mass Customer,N,No,18,59,3024.58
161,3723 Bunker Hill Circle,2065,NSW,Australia,10,Tadd,Bloss,Male,49,21/01/1976,,,Mass Customer,N,No,16,48,1148.64
162,5 Corry Court,2119,NSW,Australia,10,Port,Acuna,Male,90,12/08/1979,Nurse Practicioner,IT,Mass Customer,N,No,15,44,3317.47
163,65105 Sommers Pass,3016,VIC,Australia,10,Kessia,Helder,Female,58,06/09/1976,Librarian,Entertainment,High Net Worth,N,Yes,14,47,3089.24
164,2054 Sommers Pass,4113,QLD,Australia,4,Aarika,Van Vuuren,Female,55,07/08/1999,Senior Editor,Retail,Affluent Customer,N,Yes,1,24,2583.85
165,22371 Miller Trail,2032,NSW,Australia,10,Aldon,Roelofs,Male,61,25/03/1984,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,40,9893.75
166,35807 Oneill Way,4300,QLD,Australia,4,Elston,Oleszczak,Male,54,12/06/1955,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6,68,9737.72
167,75612 Clarendon Junction,4352,QLD,Australia,6,Nathalie,Tideswell,Female,95,27/10/1969,,Health,High Net Worth,N,Yes,17,54,9888.61
169,93 Iowa Junction,2116,NSW,Australia,9,Alfy,Bruhnke,Male,20,19/10/1957,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5,66,2065.08
170,48 Cascade Terrace,3057,VIC,Australia,8,Jammal,Gever,Male,80,02/06/1975,Pharmacist,Health,High Net Worth,N,No,21,48,4254.31
171,13950 Jackson Avenue,2099,NSW,Australia,11,Halli,Davidoff,Female,62,04/12/1970,Assistant Manager,Manufacturing,Mass Customer,N,No,10,53,9865.38
172,35386 Mockingbird Road,3749,VIC,Australia,4,Hilton,Carney,Male,54,12/09/1988,Editor,Manufacturing,Affluent Customer,N,Yes,6,35,10150.14
173,2 Randy Point,2766,NSW,Australia,8,Ebba,Hanselmann,Female,99,02/01/1997,General Manager,Health,Affluent Customer,N,No,1,27,14061.48
174,6898 Redwing Park,2148,NSW,Australia,9,Catie,Tosspell,Female,93,26/11/1989,Food Chemist,Health,Mass Customer,N,No,12,34,12893.57
175,52273 Bay Place,3145,VIC,Australia,11,Templeton,Hambrook,Male,36,28/11/1975,Quality Engineer,Manufacturing,Affluent Customer,N,No,5,48,6008.03
